,Presicion,Recall,F1-score,data/ws\001.txt,data/ws\002.txt,data/ws\004.txt,data/ws\005.txt,data/ws\006.txt,data/ws\007.txt,data/ws\008.txt,data/ws\009.txt,data/ws\010.txt,data/ws\011.txt,data/ws\012.txt
1,0.8770685579196218,0.16394167034909413,0.276247207743857,,0.18991233271417005,0.19162769203086152,0.19307202438602936,0.19299465134721724,0.19215185719607708,0.19163002464343293,0.19096371473859677,0.1926818906394724,0.19007725351302426,0.19223509961574956
2,0.9002217294900222,0.1794078656650464,0.29918938835666914,,0.22069890899465225,0.2114418164090622,,0.2098603407481978,0.21109667483423356,0.21105780111887193,0.21532370092544412,0.2113657003375533,0.21973528206377063,0.21086514214174382
3,0.9382022471910112,0.1404541631623213,0.24433065106071689,,,0.2017019932464986,,0.19988018958364248,0.20133121575592364,0.20137465046771885,0.2055974774883766,0.20149974047066124,0.2101220368410468,0.20106919254954161
4,0.9467455621301775,0.1345668629100084,0.23564064801178208,,,0.19720580371959914,,0.19410423439157157,0.19648222416210406,0.19598491353291103,0.1988108073003607,0.19127473671670062,,0.19085328383195063
5,0.9467455621301775,0.1345668629100084,0.23564064801178208,,,0.1959044625090796,,0.19270285752933158,0.19509556505200443,0.194548062193262,,0.1899997104162252,,0.18962391001778814
6,0.9746835443037974,0.10294117647058823,0.18621523579201935,,,,,0.18874846744202486,0.19125997475123674,0.19064997676902357,,0.18609463611092694,,0.18573123366584204
7,0.9746835443037974,0.10294117647058823,0.18621523579201935,,,,,0.19887488942250756,,0.2008207496084111,,0.19611177049948947,,0.19580200415656435
8,0.9746835443037974,0.10294117647058823,0.18621523579201935,,,,,0.193837589559278,,,,0.19110884248849822,,0.19077114828283867
9,0.9872611464968153,0.23736600306278713,0.38271604938271603,,,,,,,,,0.17883287585791624,,0.17852340163913852
10,1.0,0.1857638888888889,0.31332357247437775,,,,,,,,,,,0.19110724553492717
Avr,0.9520295438269217,0.14848908463599192,0.2545733872417959,,0.20530562085441115,0.19957635358302023,0.19307202438602936,0.19637540250297136,0.19790291862526324,0.19800945404766163,0.20267392511319454,0.19321887817082706,0.20664485747261388,0.19265816614360848
Max,1.0,0.23736600306278713,0.38271604938271603,,0.22069890899465225,0.2114418164090622,0.19307202438602936,0.2098603407481978,0.21109667483423356,0.21105780111887193,0.21532370092544412,0.2113657003375533,0.21973528206377063,0.21086514214174382
Slope,0.01218071098199616,0.0017456924207635872,0.002606637482027128,,0.030786576280482203,-0.0005682471733026884,nan,-0.0009978956241799854,-0.0016374780904202476,-0.0007167879314006812,0.0013815054248224213,-0.002202044553691785,0.010022391664011268,-0.0016792703451955046
AllTextCount,,,,21005.0,12951.0,6588.0,2664.0,4105.0,6071.0,5036.0,8378.0,2959.0,11802.0,3119.0
AllSegCount,,,,4073.0,2246.0,1180.0,462.0,674.0,1029.0,880.0,1440.0,498.0,1443.0,470.0
,,,,5.1571323348882885,5.766251113089938,5.583050847457627,5.766233766233766,6.0905044510385755,5.899902818270165,5.722727272727273,5.8180555555555555,5.9417670682730925,8.17879417879418,6.636170212765958
