,Presicion,Recall,F1-score,data/ws2\ws-001.txt,data/ws2\ws-002.txt,data/ws2\ws-004.txt,data/ws2\ws-005.txt,data/ws2\ws-006.txt,data/ws2\ws-007.txt,data/ws2\ws-008.txt,data/ws2\ws-009.txt,data/ws2\ws-010.txt,data/ws2\ws-011.txt,data/ws2\ws-012.txt
1,0.75,0.2158273381294964,0.33519553072625696,,0.20001976237262295,0.2040788650114446,0.19892204660617185,0.20041850776304643,0.2053346354453924,0.19934759655724402,0.19952986311396106,0.19880478550656774,0.1987599630247463,0.1991457694431938
2,0.7027027027027027,0.18705035971223022,0.2954545454545454,,0.1985245487524846,0.2019834301884562,0.19864271535972253,0.1990282482530825,,0.19878760556163996,0.19801321077002515,0.1976261427333399,0.19836267599327997,0.19864389434995422
3,0.8333333333333334,0.17985611510791366,0.29585798816568054,,0.23986741921265822,,0.23928994551881078,0.2384069000455892,,0.23790538860970864,0.23930389939770372,0.2388589054069614,0.23804065390320664,0.23835611161176007
4,0.8958333333333334,0.21182266009852216,0.3426294820717132,,,,0.21877553753547288,0.21863645614161525,,0.21801702181444219,0.21877506976021469,0.21839890988464927,0.21801658258011394,0.21800780153217914
5,0.92,0.107981220657277,0.19327731092436978,,,,,0.19963235228360698,,0.19904752002300127,0.19866779663574252,0.19830791188660254,0.19866481541063297,0.19849997200417066
6,0.9696969696969697,0.14953271028037382,0.2591093117408907,,,,,,,0.18112365503248798,0.18030252910827688,0.17977693410946474,0.18064982773037627,0.1803756792910062
7,0.9,0.24324324324324326,0.3829787234042553,,,,,,,,0.20473545376843494,0.20430217261495773,0.20471809762403032,0.2046113175476372
8,0.9807692307692307,0.2512315270935961,0.39999999999999997,,,,,,,,,0.21299794415282672,0.2132649755398002,0.21331483381708646
9,0.9807692307692307,0.2512315270935961,0.39999999999999997,,,,,,,,,0.21852718166473956,0.21645843026418746,
10,1.0,0.3894736842105263,0.5606060606060607,,,,,,,,,,0.21720967014383694,
Avr,0.8933104800604802,0.2187250385626775,0.34651089530937723,,0.2128039101125886,0.2030311475999504,0.2139075612550445,0.21122449289738804,0.2053346354453924,0.20570479793308735,0.20561826036490843,0.2075112097733455,0.20841456922142107,0.20636942244962347
Max,1.0,0.3894736842105263,0.5606060606060607,,0.23986741921265822,0.2040788650114446,0.23928994551881078,0.2384069000455892,0.2053346354453924,0.23790538860970864,0.23930389939770372,0.2388589054069614,0.23804065390320664,0.23835611161176007
Slope,0.03027783123237668,0.01518045809323941,0.021018804452861577,,0.019923828420017636,-0.0020954348229884068,0.010020770294699133,0.0018035896929653877,nan,-0.0031493808867132204,-0.002158596218644147,0.00028782579219926443,0.0006722958157735051,-0.0007670066652929338
AllTextCount,,,,1582.0,823.0,1347.0,989.0,1193.0,1541.0,1150.0,831.0,923.0,1100.0,1079.0
AllSegCount,,,,297.0,138.0,242.0,184.0,192.0,262.0,186.0,140.0,152.0,119.0,147.0
,,,,5.326599326599327,5.963768115942029,5.566115702479339,5.375,6.213541666666667,5.8816793893129775,6.182795698924731,5.935714285714286,6.072368421052632,9.243697478991596,7.340136054421769
