Type,Round,Test Part,Presicion,Recall,F1-score,U-score
test-score,1,,0.797752808988764,0.23745819397993312,0.365979381443299,
Un-score,1,0,,,,0.1619138677765506
test-score,2,,0.8461538461538461,0.15827338129496402,0.2666666666666666,
Un-score,2,1,,,,0.13956388262443398
test-score,3,,0.6867469879518072,0.22983870967741934,0.3444108761329305,
Un-score,3,2,,,,0.18748334845832312
test-score,4,,0.9411764705882353,0.15763546798029557,0.27004219409282704,
Un-score,4,3,,,,0.18473971443853687
test-score,5,,1.0,0.10328638497652583,0.1872340425531915,
Un-score,5,4,,,,0.16868920074469407
test-score,6,,0.9411764705882353,0.06015037593984962,0.11307420494699646,
Un-score,6,5,,,,0.15320886397706485
test-score,7,,0.9696969696969697,0.14953271028037382,0.2591093117408907,
Un-score,7,6,,,,0.16909442793395693
test-score,8,,0.9574468085106383,0.24324324324324326,0.3879310344827586,
Un-score,8,7,,,,0.19959238783437333
test-score,9,,0.9807692307692307,0.2512315270935961,0.39999999999999997,
Un-score,9,8,,,,0.19946524852296899
test-score,10,,1.0,0.3894736842105263,0.5606060606060607,
Un-score,10,9,,,,0.20585883265467023
test-score,11,,0.9473684210526315,0.19672131147540983,0.32579185520361986,
Un-score,11,10,,,,0.18590129873128625
